ticket_id,date,persona,role,company_size,priority,category,subject,description,resolution_time_days,status
T-001,2025-01-06,Jennifer,General Counsel,1200,High,Compliance Reporting,"Lease compliance report missing IFRS 16 right-of-use asset breakdown","We generated a compliance report for our Q4 audit but the IFRS 16 section does not break out right-of-use assets from operating lease liabilities. Our auditors flagged this. We need this separated or we cannot use the report.",4,Resolved
T-002,2025-01-09,Rachel,Legal Ops Manager,600,Medium,Data Export,"Export to Excel drops lease start/end dates for leases over 5 years","When we export lease data to Excel for our accountants, any lease with a term over 5 years is missing the start and end date columns. Shorter leases export fine. This is blocking our monthly reporting.",2,Resolved
T-003,2025-01-13,David,Senior Corporate Counsel,800,High,Clause Extraction,"Escalation clause not detected in commercial real estate leases","LegalGraph is not picking up rent escalation clauses in our CRE lease portfolio. These are worded as 'annual CPI adjustment' rather than 'escalation'. We have 40+ leases affected and cannot tell which have uncapped adjustments.",6,Open
T-004,2025-01-15,Jennifer,General Counsel,1200,Critical,Compliance Reporting,"Automated report generated wrong lease classification — operating vs finance","The system classified three of our finance leases as operating leases in the compliance report. This changes our balance sheet numbers materially. How did this happen and how do we correct past reports?",1,Escalated
T-005,2025-01-17,Rachel,Legal Ops Manager,600,Low,Integrations,"Salesforce sync not pulling updated lease amendment dates","After we amend a lease in LegalGraph, the updated expiry date takes 48+ hours to appear in Salesforce. Our sales team uses Salesforce to track renewal opportunities, so stale data is causing them to miss outreach windows.",3,Resolved
T-006,2025-01-20,David,Senior Corporate Counsel,800,Medium,Clause Extraction,"Renewal option detection misses 'right of first refusal' language","Renewal options worded as 'right of first refusal on reletting' are not flagged as renewal options. Standard renewal language is detected fine. We have missed two renewal windows because of this.",5,Resolved
T-007,2025-01-22,Jennifer,General Counsel,1200,High,Compliance Reporting,"Need to generate consolidated compliance report across all subsidiaries","We have 12 subsidiaries each with their own lease portfolios. Right now we have to generate 12 separate reports and manually consolidate. We need a single consolidated report with subsidiary-level drill-down for our group audit.",Open,Open
T-008,2025-01-24,Rachel,Legal Ops Manager,600,Medium,Analytics Dashboard,"Dashboard lease expiry timeline does not account for renewal options","The portfolio dashboard shows leases expiring based on base term only. It ignores renewal options we have already elected. This makes our 'upcoming expirations' view inaccurate — we show 18 leases expiring in 6 months when it should be 7.",2,Resolved
T-009,2025-01-27,David,Senior Corporate Counsel,800,Low,Clause Extraction,"Percentage rent clauses in retail leases not extracted","For our retail leases with percentage rent (base rent + % of gross sales), LegalGraph only extracts the base rent figure. The percentage rent trigger threshold and rate are not captured. This understates our actual rent liability.",Open,Open
T-010,2025-01-29,Jennifer,General Counsel,1200,High,Compliance Reporting,"GASB 87 compliance report needed for government entity clients","Two of our clients are government entities and need GASB 87 compliance reports, not IFRS 16. The system only supports IFRS 16 and ASC 842. This is blocking us from serving this segment.",Open,Open
T-011,2025-02-03,Rachel,Legal Ops Manager,600,Medium,Data Export,"Bulk export of lease abstracts locks up browser for portfolios over 200 leases","When we try to export lease abstracts for our full portfolio (240 leases), the browser freezes and the export fails after 3-4 minutes. We have to do it in batches of 50 which is very time consuming.",4,Resolved
T-012,2025-02-05,David,Senior Corporate Counsel,800,High,Compliance Reporting,"Cannot map custom lease fields to IFRS 16 disclosure line items","We have custom fields for lease incentives and tenant improvement allowances. These do not map to the IFRS 16 disclosure template fields so they are excluded from reports. We need a field mapping configuration screen.",Open,Open
T-013,2025-02-07,Jennifer,General Counsel,1200,Medium,Compliance Reporting,"Audit trail for compliance report approvals is incomplete","When we approve a compliance report for submission, the audit log shows the approval but not who reviewed it before approval or what version was approved. Our auditors require a complete review chain.",3,Resolved
T-014,2025-02-10,Rachel,Legal Ops Manager,600,Critical,Integrations,"Lease data not syncing from DocuSign after lease execution","After a lease is executed via DocuSign, the signed document should auto-import into LegalGraph. This stopped working 2 weeks ago. We now have a backlog of 30 executed leases not in the system.",1,Resolved
T-015,2025-02-12,David,Senior Corporate Counsel,800,Medium,Clause Extraction,"Subletting restriction clauses flagged with wrong severity","Absolute subletting prohibitions and conditional subletting restrictions are both flagged as 'High' risk. Conditional restrictions are usually negotiable and should be 'Medium'. This causes us to escalate too many leases to the GC.",2,Resolved
T-016,2025-02-14,Jennifer,General Counsel,1200,High,Compliance Reporting,"Report scheduling: need reports auto-generated before quarter end","We need compliance reports auto-generated 5 business days before quarter end so we have time to review before the audit deadline. Currently we have to manually trigger every quarter and sometimes miss the window.",Open,Open
T-017,2025-02-17,Rachel,Legal Ops Manager,600,Low,Analytics Dashboard,"No way to filter dashboard by lease type (real estate vs equipment)","Our portfolio includes both real estate and equipment leases but the dashboard cannot filter by lease type. The metrics are mixed together which makes it hard to report separately to our CFO vs our facilities team.",3,Resolved
T-018,2025-02-19,David,Senior Corporate Counsel,800,Medium,Clause Extraction,"Force majeure clause detection not working on older lease templates","Leases from before 2020 use 'Act of God' language instead of 'force majeure'. These are not flagged. Post-COVID this has become a real issue as we try to assess portfolio exposure.",Open,Open
T-019,2025-02-21,Jennifer,General Counsel,1200,Medium,Compliance Reporting,"Need variance explanation when lease liability changes between periods","The compliance report shows lease liability changed by $2.3M quarter over quarter but does not explain why — new leases, modifications, terminations, FX. Auditors need a variance bridge.",Open,Open
