request_id,date_submitted,persona,role,company_size,votes,title,description,business_justification,conflicts_with,persona_benefit
FR-001,2024-11-04,Jennifer,General Counsel,1200,47,"Consolidated multi-entity compliance report","Single compliance report spanning all subsidiaries with entity-level drill-down. Currently requires generating N reports and manually merging in Excel.","Audit prep takes 1 full day per entity. With 12 subsidiaries that is 12 days of legal ops time per quarter.","FR-008 (granular per-entity only)",Jennifer
FR-002,2024-11-11,Rachel,Legal Ops Manager,600,41,"Scheduled compliance report auto-delivery","Auto-generate and deliver compliance reports on a configurable schedule (e.g. 5 business days before quarter-end) with email delivery to designated reviewers.","Manual triggering causes missed deadlines. One missed Q3 report required emergency rescheduling of auditor.","None",Rachel
FR-003,2024-11-18,David,Senior Corporate Counsel,800,38,"Lease-specific clause library expansion","Expand AI extraction to cover lease-specific clauses: CPI/escalation caps, co-tenancy clauses, ROFO/ROFR, percentage rent, CAM reconciliation, tenant improvement allowance.","Current miss rate on these clauses is causing manual re-review of entire documents, eliminating time savings.","None — additive",David
FR-004,2024-11-25,Rachel,Legal Ops Manager,600,35,"Explainable AI scores with factor breakdown","Show the top 3 factors driving any AI-generated score (risk score, renewal probability, confidence score) with the specific clause or data point behind each factor.","Attorneys won't act on black-box scores. Scores are being ignored, reducing product value to near zero for this use case.","FR-011 (simplified single score only)",Rachel / David
FR-005,2024-12-02,Jennifer,General Counsel,1200,33,"GASB 87 compliance report template","Add GASB 87 as a supported accounting standard alongside IFRS 16 and ASC 842, for government entity clients.","Two enterprise prospects are government entities. Deal is blocked without GASB 87 support. Estimated $240K ARR at risk.","None — additive",Jennifer
FR-006,2024-12-09,David,Senior Corporate Counsel,800,31,"Batch lease portfolio review","Upload multiple leases at once and receive a portfolio-level summary: escalation risks ranked, renewal dates, unusual clause flags, outliers vs. standard terms.","Portfolio acquisitions involve 20+ leases at once. Current one-at-a-time flow makes acquisition due diligence impractical.","None",David
FR-007,2024-12-16,Rachel,Legal Ops Manager,600,28,"Lease type filtering in analytics dashboard","Filter all dashboard metrics by lease type (real estate vs. equipment vs. vehicle). Currently all lease types are mixed in a single view.","CFO requires separate reporting for real estate and equipment. Legal ops manually splits data monthly — estimated 4 hours/month.","None",Rachel
FR-008,2024-12-23,Jennifer,General Counsel,1200,26,"Pre-submission data validation check","Before a compliance report can be submitted/exported, run an automated validation: check for stale data, missing required fields, period consistency, and flag issues for review.","One submitted report contained prior-period data for 8 leases. Required refiling. Auditor trust was damaged.","FR-001 (consolidated view may complicate validation)",Jennifer
FR-009,2024-12-30,David,Senior Corporate Counsel,800,24,"Legacy contract language support","Train extraction models on pre-2015 lease language: 'Act of God' for force majeure, 'assignment covenant' for subletting restriction, 'additional rent' for CAM charges.","35% of enterprise portfolio uses legacy language. These leases are highest-risk but least covered by AI.","None — training data addition",David
FR-010,2025-01-06,Rachel,Legal Ops Manager,600,22,"Webhook-based ERP sync (replace polling)","Replace hourly API polling with webhook push notifications so ERP systems receive lease updates in real time without hitting rate limits.","API rate limits cause partial syncs during quarter-end — highest-volume period. Causes manual reconciliation that defeats integration value.","None — infrastructure change",Rachel
FR-011,2025-01-13,Jennifer,General Counsel,1200,19,"Executive one-page portfolio summary","Auto-generated one-page PDF: total lease liability, top 5 risks, upcoming expirations (90 days), compliance status. Formatted for board/exec presentation.","GC spends 3 hours manually creating this summary for every board meeting. Should be generated in one click.","FR-004 (conflicts: simplified vs. explainable scores)",Jennifer
FR-012,2025-01-20,David,Senior Corporate Counsel,800,17,"Confidence score context and threshold alerts","Show which specific clause text created extraction uncertainty. Alert when confidence falls below a configurable threshold so attorneys know when to re-read.","Currently attorneys either over-trust or ignore confidence scores. Neither behavior is correct. Need calibrated trust.","None",David
FR-013,2025-01-27,Rachel,Legal Ops Manager,600,15,"Trend analytics: time-series metrics","Add trend lines to dashboard metrics (volume, turnaround time, risk score over time). Current dashboard is snapshots only — cannot show improvement or regression over quarters.","GC asks 'are we getting better?' every quarter. Today that requires manual Excel charting from data exports.","None — additive",Rachel
FR-014,2025-02-03,Jennifer,General Counsel,1200,12,"Variance bridge in compliance reports","When lease liability changes between reporting periods, show a waterfall breakdown: new leases added, leases terminated, lease modifications, FX impact, interest accretion.","Auditors always ask for variance explanation. Currently requires a manual bridge built in Excel after generating the report.","None",Jennifer
FR-015,2025-02-10,David,Senior Corporate Counsel,800,9,"Redline collaboration with external counsel","Allow external counsel (guest access) to view AI redline suggestions and leave comments, without full LegalGraph access. Track all external suggestions in audit log.","Negotiation with counterparty involves outside counsel. Currently screen-share or email redlines, losing version history and audit trail.","None — new user type",David
