response_id,date,persona,role,company_size,nps_score,verbatim_comment,follow_up_question,follow_up_answer
N-001,2025-01-10,Jennifer,General Counsel,1200,9,"LegalGraph has genuinely changed how we handle contract volume. The risk scoring means my team can triage in minutes instead of hours. The one thing I want next is better compliance reporting — right now I still export to Excel and manually format for auditors.","What would make compliance reporting 5-star for you?","Auto-generated IFRS 16 reports I can hand directly to auditors without touching Excel. Scheduled delivery before quarter-end."
N-002,2025-01-10,David,Senior Corporate Counsel,800,8,"Clause extraction is excellent for standard commercial contracts. Lease-specific clauses — escalation, co-tenancy, ROFO — are hit or miss. When it works it saves me an hour per lease. When it misses, I have to re-read the whole document anyway.","Which missing lease clauses cause the most risk for your team?","Escalation caps and co-tenancy clauses. Missing either of these can mean a significant unbudgeted liability."
N-003,2025-01-10,Rachel,Legal Ops Manager,600,7,"Good tool overall. The dashboard is useful but the renewal probability score feels like a black box — attorneys don't act on it because they can't explain it to the GC. Also need equipment lease filtering separate from real estate.","If you could fix one thing, what would it be?","Explainability on the AI scores. Show me the 3 factors driving the score and attorneys will trust it."
N-004,2025-01-15,Jennifer,General Counsel,950,10,"We went from 2-week manual portfolio reviews to on-demand risk dashboards. Our CFO now asks for lease risk summaries monthly and we can actually deliver them. The ROI has been undeniable.","What would you tell a peer GC considering LegalGraph?","Don't wait. The time savings alone paid for the first year in Q1."
N-005,2025-01-15,David,Senior Corporate Counsel,1100,6,"The core AI is solid but the compliance reporting module feels like an afterthought. We had to file a IFRS 16 report manually because the generated one had wrong lease classifications. That's a trust issue for me.","Did you report this as a bug?","Yes, ticket was resolved but I still double-check every generated report now. The mental overhead defeats the purpose."
N-006,2025-01-15,Rachel,Legal Ops Manager,750,8,"The DocuSign integration saves us hours every week. My only frustration is the API rate limits — our ERP sync breaks when we have a busy signing week and then I have to manually reconcile. Would give a 9 if that was fixed.","How often does the sync break?","About once a month, always during quarter-end when we have the most closings. Worst possible timing."
N-007,2025-01-22,Jennifer,General Counsel,1400,9,"Really strong product. My ask: consolidated reporting across subsidiaries. We have 12 entities and generating 12 separate reports then combining them in Excel is manual work that should not exist in 2025.","How long does the current consolidation take?","Usually a full day for our legal ops person before every audit. That's time we're paying attorney rates for Excel work."
N-008,2025-01-22,David,Senior Corporate Counsel,650,5,"I keep running into clauses that LegalGraph misses because they use older legal language. Force majeure as 'Act of God', subletting restrictions as 'assignment covenants'. The AI seems trained on modern contract language only. Our portfolio has leases going back to 2008.","How large is the legacy lease portion of your portfolio?","About 35%. They're also the highest-risk leases because they predate a lot of our standard playbook protections."
N-009,2025-01-22,Rachel,Legal Ops Manager,600,9,"The reporting saved my monthly metrics report from being a 2-day Excel exercise to a 20-minute export. The GC loves the dashboard. Only gap: I can't filter by lease type so real estate and equipment metrics are mixed.","What decisions does that filtering affect?","CFO wants real estate exposure separate from equipment. Two different budget owners, two different reports."
N-010,2025-01-29,Jennifer,General Counsel,1200,7,"The product is good but the compliance reporting had a serious issue last quarter — submitted report had stale data for 8 leases. Our auditors flagged it and we had to refile. I need a data validation check before I can submit, not after.","Has this been resolved?","Engineering said it is fixed but I don't have confidence yet. We're adding a manual spot-check step before every submission."
N-011,2025-01-29,David,Senior Corporate Counsel,800,8,"Redline suggestions have improved dramatically. The playbook enforcement is what makes this enterprise-grade. My one ask: percentage rent clauses in retail leases. We have 15 of them and the system only captures base rent.","What's the risk exposure from missing percentage rent terms?","Hard to quantify without the data — which is exactly the problem. Could be anywhere from negligible to material."
N-012,2025-01-29,Rachel,Legal Ops Manager,500,6,"Good product that is clearly built for attorneys, not legal ops. The analytics are basic — I need trend lines, not just snapshots. Also the renewal probability score has no methodology explanation so our attorneys won't act on it.","What metrics matter most to your GC?","Average review time, portfolio risk score, leases expiring in next 90 days. She wants these in under 60 seconds."
N-013,2025-02-05,Jennifer,General Counsel,2000,8,"We're a large legal department with complex needs. The multi-currency compliance reporting is almost there but FX rate inconsistency between report sections caused an auditor question last quarter. Needs to be bulletproof for a company our size.","Do you have a preferred FX methodology?","IFRS 16 specifies spot rate at commencement for ROU asset, average rate for P&L. The tool should default to this."
N-014,2025-02-05,David,Senior Corporate Counsel,900,9,"The batch processing for NDA review is a genuine time saver. I want the same for lease review — upload 20 leases, get a portfolio summary of escalation risks, renewal dates, and unusual clauses. Right now it's one at a time.","How many leases do you typically receive in a week?","Varies — quiet week is 3-5, busy week is 15-20 when we're doing portfolio acquisitions."
N-015,2025-02-12,Rachel,Legal Ops Manager,700,7,"Solid tool. I wish the scheduled reporting worked for compliance reports the way it does for portfolio summaries. Having to manually trigger compliance reports every quarter is a process gap — someone always forgets.","What happens when the report is late?","Audit team escalates to GC, GC is unhappy, I get a call. It's a stressful avoidable situation."
N-016,2025-02-19,Jennifer,General Counsel,1100,10,"Best legal tech investment we've made. The audit trail is what sold our board — being able to show exactly who reviewed, approved, and on what date is something our previous CLM couldn't do. Compliance is now something I'm confident in, not anxious about.","Would you recommend to peers?","Already have. Two GC connections are in trials."
